z,fgas,fgas_error,ignore
0.2777,0.09661016949152544,0.014882672504241462,0.0
0.2786,0.11397306397306395,0.015304160379001806,0.0
0.2836,0.14113924050632912,0.01990545877329489,0.0
0.295,0.11348837209302325,0.01729627379456249,0.0
0.29600000000000004,0.06300268096514745,0.01119195060296783,0.0
0.29600000000000004,0.10109090909090908,0.012652230080080215,0.0
0.3196,0.10886699507389164,0.016768927334412195,0.0
0.3344,0.09711538461538463,0.015315161342879803,0.0
0.3416,0.19806338028169013,0.023436130215876844,0.0
0.3432,0.10637898686679174,0.014772469989318663,0.0
0.3455,0.11198044009779952,0.017931929410008738,0.0
0.3481,0.1105577689243028,0.015912487970190185,0.0
0.35,0.12966751918158567,0.01989111747804417,0.0
0.35100000000000003,0.11948424068767904,0.01931418359149413,0.0
0.358,0.1160092807424594,0.017934704232968227,0.0
0.3592,0.12485436893203886,0.017264897459997562,0.0
0.3922,0.12443890274314215,0.020736202404418157,0.0
0.4075,0.1361522198731501,0.01636240732465532,0.0
0.415,0.12547770700636945,0.018397705216917103,0.0
0.4207,0.10791044776119403,0.013697239882943434,0.0
0.4214,0.12775735294117646,0.017596141903593102,0.0
0.423,0.1040650406504065,0.01899026661661058,0.0
0.4235,0.12607655502392345,0.019088079508355532,0.0
0.4270000000000001,0.11014150943396224,0.01745972877257829,0.0
0.4398,0.1308433734939759,0.01979708874212297,0.0
0.4417,0.13977110157367667,0.017731993809395198,0.0
0.4584,0.11277955271565494,0.014763257442724756,0.0
0.4607,0.11573275862068964,0.016736211300452258,0.0
0.4703,0.12783964365256126,0.018758658268186942,0.0
0.48,0.10527638190954776,0.017388223614635625,0.0
0.4853,0.11076233183856504,0.015914996501676746,0.0
0.4985,0.2005328596802842,0.02655097972886376,0.0
0.528,0.11484536082474228,0.01612569819770034,0.0
0.5297,0.12178423236514525,0.01692691471901039,0.0
0.5297,0.09639468690702087,0.01338139659758694,0.0
0.5473,0.11923076923076925,0.019094844065391525,0.0
0.55,0.12399049881235155,0.01841358119367916,0.03115
0.556,0.1328424153166421,0.01654526202312585,0.0
0.5584,0.11942215088282505,0.015292484458013416,0.03952
0.5619,0.1181222707423581,0.016786823514603182,0.0
0.5710000000000001,0.12983870967741934,0.01576183004432213,0.0
0.5760000000000001,0.1132250580046404,0.016264964379966714,0.0
0.5794,0.08199999999999999,0.015443692061479209,0.0
0.5801,0.1124716553287982,0.01622323597130696,0.0
0.5856,0.11463414634146345,0.016389317128326374,0.0
0.5948,0.1215077605321508,0.017603967135518376,0.0
0.596,0.18257956448911225,0.023344740646591332,0.0
0.5971,0.10857988165680474,0.023569824951778555,0.0
0.609,0.08666666666666667,0.014609270750124784,0.0
0.6352,0.0675,0.01129650880188703,0.0
0.6363,0.12086021505376345,0.017893927499702304,0.04199
0.6365,0.13537117903930132,0.01803409944620458,0.0
0.6399,0.13685393258426967,0.01983697976434797,0.0
0.642,0.13312597200622087,0.017232417847566482,0.0
0.649,0.1386904761904762,0.018523303210304227,0.0
0.6521,0.0975717439293598,0.015226409256482418,0.0
0.6535,0.17852084972462628,0.021251140600719958,0.0
0.655,0.10744047619047617,0.020888765811390902,0.0
0.6793,0.12968553459119495,0.01598443435785849,0.0
0.684,0.1357843137254902,0.019563882372659328,0.0
0.7019,0.10946196660482377,0.01523841357797963,0.0
0.7067,0.13717026378896882,0.02118865247728853,0.0
0.7234,0.14789915966386558,0.017851007696913928,0.0
0.7369,0.1005703422053232,0.013862761374018243,0.0
0.7412,0.1422680412371134,0.018564741481522245,0.0453
0.7498,0.12147239263803683,0.01660918761069001,0.0
0.752,0.13095823095823095,0.019847860930131217,0.0
0.7575,0.11914893617021274,0.016958637258006958,0.030760000000000006
0.7678,0.10733752620545074,0.015181002205108915,0.0
0.775,0.10985626283367557,0.01590781437421133,0.0
0.775,0.12770833333333334,0.018973110199914368,0.0
0.792,0.10210526315789474,0.015431090729156471,0.0
0.8076,0.15578947368421053,0.022231184858687726,0.03163
0.8226,0.16206896551724134,0.019199535299355808,0.0319
0.8349,0.1055984555984556,0.01433940401472706,0.0
0.8405,0.11460446247464505,0.015734057344646616,0.0
0.8701,0.0643020594965675,0.009735717242023396,0.0
0.8809999999999999,0.13293650793650796,0.018509569617510085,0.0
0.8888,0.1353870458135861,0.017734440382038755,0.03305
0.8971,0.11002044989775052,0.014985953801534788,0.0
0.93,0.09049429657794678,0.021356683150892036,0.0
0.933,0.14227188081936684,0.019140484564177503,0.0
0.9712,0.11659574468085107,0.014861887949969909,0.0345
0.972,0.11680161943319835,0.015202085749732403,0.0
1.0,0.07459459459459457,0.01102168295965792,0.09
1.003,0.14395833333333333,0.017157142589691046,0.0
1.026,0.10473118279569893,0.0150989269302691,0.0
1.0659999999999998,0.08948655256723717,0.013990404818887829,0.0
1.075,0.1074074074074074,0.017461672764581954,0.0
1.132,0.09040697674418603,0.014689468620060575,0.0
1.17,0.11980906921241047,0.014109121649040116,0.09765
1.19,0.0931,0.0274,0.09855
1.288,0.1157,0.03,0.0
1.32,0.1038,0.0338,0.0  
